Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
1;d’Achéry,_Guiberti_opera;d’Achéry, Guiberti opera;Venerabilis Guiberti Abbatis B. Mariae de Novigento opera omnia, ed. Lucas d’Achery, Paris 1651.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11205614-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;d’Achéry,_Spicilegium;d’Achéry, Spicilegium;Spicilegium sive collectio veterum aliquot scriptorum qui in Galliae Bibliothecis delituerant, ed. Lucas d’Achéry, 13 Bde., Paris 1655–1677.;;"III ; V";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;d’Achéry,_Spicilegium_(2._Aufl.);d’Achéry, Spicilegium (2. Aufl.);Spicilegium sive collectio veterum aliquot scriptorum qui in Galliae Bibliothecis delituerant, ed. Lucas d’Achéry, Ludovicus Franciscus Joseph de la Barre, 3 Bde., 2. Aufl., Paris 1723.;;III;;X;X;;;;;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11439764-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;AA_SS;AA SS;"Acta Sanctorum auotquot toto orbe coluntur, 68 Bde., Anvers, Bruxelles 1643–1940 (2. Aufl. Venedig, 1734–1760; 3. Aufl. Paris 1863–1870; ND der 1. Aufl. Bruxelles 1966–71).";;;;X;X;https://www.patristique.org/Acta-sanctorum.html;https://www.heiligenlexikon.de/Literatur/Baende_Acta_Sanctorum.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Adolfsson,_Liber_epistularum_Guidonis_de_Basochis;Adolfsson, Liber epistularum Guidonis de Basochis;Liber epistularum Guidonis de Basochis, ed. Herbert Adolfsson, Stockholm 1969 (Acta Universitatis Stockholmiensis. Studia latina Stockholmiensia, 18).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Alberigo-Melloni,_Conciliorum_oecumenicorum_decreta;Alberigo/Melloni, Conciliorum oecumenicorum decreta;Conciliorum oecumenicorum generaliumque decreta, Bd. 2: The General Councils of Latin Christendom, Tl. 1: From Constantinople IV to Pavia-Siena (869–1424), Tl. 2: From Basem to Lateran V (1431–1517), ed. Giuseppe Alberigo, Alberto Melloni, Turnhout 2006 (Corpus Christianorum Conciliorum Oecumenicorum Genereliumque Decreta, 2).;;II;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Anglia_pontificia._Subsidia;Anglia pontificia. Subsidia;Anglia Pontificia. Subsidia 1: Collectiones epistolarum, ed. Rudolf Hiestand, Stefan Hirschmann, Göttingen 2011 (Regesta Pontificia Romanorum).;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Aposcripta;Aposcripta;Aposcripta database. Lettres des papes, ed. Julien Théry, Orléans, 2017 (TELMA), URL: http://telma-chartes.irht.cnrs.fr/aposcripta.;;;;X;X;;http://telma-chartes.irht.cnrs.fr/aposcripta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;d’Arbois_de_Jubainville,_Histoire;d’Arbois de Jubainville, Histoire;Henry d’Arbois de Jubainville, Histoire des ducs et des comtes de Champagne depuis le Ve siècle jusqu’à la fin du Xe siècle, 7 Bde., Paris 1859–1869.;;III;;X;X;;;;;;;;;;https://books.google.fr/books?id=1-xAAAAAcAAJ&pg=PA20&hl=de&source=gbs_toc_r&cad=3#v=onepage&q&f=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Assmann,_Friedrich_Barbarossas_Kinder;Assmann, Friedrich Barbarossas Kinder;Erwin Assmann, Friedrich Barbarossas Kinder, in: Deutsches Archiv 33 (1977), S. 435–472.;;;;X;X;http://www.digizeitschriften.de/dms/resolveppn/?PID=GDZPPN000357243;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
11;Augustin,_Opera_Omnia;Augustin, Opera Omnia;Antonii Augustini archiepiscopi Tarraconensis opera omnia quae multa adhibita diligentia colligi potuerunt, 8 Bde., Luccae 1765–1774.;;IV;;X;X;https://babel.hathitrust.org/cgi/pt?id=ucm.531906006x&view=1up&seq=7&skin=2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Avril,_L’évolution_du_synode_diocésain;Avril, L’évolution du synode diocésain;Joseph Avril, L’évolution du synode diocésain, principalement dans la France du Nord, du Xe au XIIIe siècle, in: Peter A. Linehan (Hg.), Proceedings of the Seventh International Congress of Medieval Canon Law. Cambridge, 23–27 July 1984, Vatikanstadt 1988 (Monumenta iuris canonici, C/8), S. 305–325.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Baaken,_Altersfolge_der_Söhne_Friedrich_Barbarossas;Baaken, Altersfolge der Söhne Friedrich Barbarossas;Gerhard Baaken, Die Altersfolge der Söhne Friedrich Barbarossas und die Königserhebung Heinrichs VI., in: Deutsches Archiv 24 (1968), S. 46–78 (ND in: ders., Imperium und Papsttum. Zur Geschichte des 12. und 13. Jahrhunderts. Festschrift zum 70. Geburtstag, hg. von Karl Augustin Frech, Ulrich Schmidt, Köln 1997, S. 1–30).;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858735_0024&DMDID=dmdlog19 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
