ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
i00211;Äbte der Kirchenprovinz Reims;Äbte der Kirchenprovinz;1017;Empfänger;Äbte der Kirchenprovinz;;t:persName
i01598;Äbte und Kirchenprälaten der Kirchenprovinz Reims;Äbte und Kirchenprälaten der Kirchenprovinz Reims;950;Empfänger;Bischöfe, Äbte und Kirchenprälaten der Kirchenprovinz Reims;Reims;t:orgName
i01124;Alle Gläubigen;alle Gläubigen;15;Empfänger;alle Gläubigen;;t:persName
i01269;Archidiakone, Dekane und Priester in Reims, Trier, Metz, Verdun und Lüttich;Archidiakone, Dekane und Priester;1060;Empfänger;Archidiakone, Dekane und Priester;;t:persName
i02003;Arras, Domkapitel;Domdekan und Domkapitel von Arras;1115a;Empfänger;Domdekan und Domkapitel von Arras;Arras;t:persName
i04134;Avallon, Stiftskirche Saint-Lazare;Kanoniker der Stiftskirche Saint-Lazare in Avallon Yonne, Diözese Autun;1087;Empfänger;Kanoniker der Stiftskirche Saint-Lazare in Avallon (Yonne, Diözese Autun);Saint-Lazare in Avallon (Yonne, Diözese Autun);t:persName
i04327;Bath, bischöfliche Kirche;Kirche von Bath Somerset;1048;Empfänger;Kirche von Bath (Somerset);Bath (Somerset);t:orgName
;;;147;;, Herzog von Burgund);Burgund;t:persName
i02214;Bischöfe der Kirchenprovinz Reims;Erzbistum Reims;170;;Erzbistum Reims;Reims;t:orgName
i07117;Bischöfe der Kirchenprovinz Sens;und Sens;181;;und Sens;Sens;t:orgName
i07125;Bischöfe der Kirchenprovinz Tours;und Tours;361;Empfänger;und Tours;Tours;t:persName
i07607;Bischöfe der Kirchenprovinz Trier;Bischöfe der Kirchenprovinz Trier;1155;;;;t:orgName
i01602;Bischöfe der Kirchenprovinzen Bourges, Reims, Tours und Rouen;Bischöfe der Kirchenprovinz;73;Empfänger;Bischöfe der Kirchenprovinz;;t:orgName
i07608;Bischöfe der Kirchenprovinzen Reims und Rouen;Bischöfe der Kirchenprovinzen Reims und Rouen;;;;;t:orgName
;;;1121;Empfänger;, Kardinalpriester von Santa Sabina;Santa Sabina;t:persName
i06588;Bischöfe der Kirchenprovinzen Reims und Sens;Suffragane;69;;Suffraganen;;t:persName
;;;613;;), Kardinalpriester von Santi Nereo ed. Achilleo;Santi Nereo ed. Achilleo;t:persName
i06662;Bischöfe der Kirchenprovinzen Reims, Sens und Tours;Suffragane seiner Kirchenprovinz;137;;Suffragane seiner Kirchenprovinz;;t:persName
i01607;Bischöfe Galliens;Bischöfen Galliens;72;;Bischöfen Galliens;Galliens;t:orgName
;;;511;Empfänger;, Legaten des apostolischen Stuhles;;t:persName
i01606;Bischöfe Germaniens;Bischöfe Germaniens;201;Aussteller;Bischöfen der Germani;Germani;t:orgName
i01610;Bischöfe und Kardinäle der heiligen römischen Kirche;Bischöfe und Kardinäle der heiligen römischen Kirche;671;Empfänger;Bischöfe und Kardinäle der heiligen römischen Kirche;;t:persName
i01876;Castelletto, Cluniazenserpriorat San Pietro;Cluniazenserpriorats San Pietro in Castelletto Monastero prov. Vercelli, Diözese Vercelli;1088;Empfänger;(Cluniazenser)priorats San Pietro in Castelletto (Monastero) (prov. Vercelli, Diözese Vercelli);San Pietro in Castelletto (Monastero) (prov. Vercelli, Diözese Vercelli);t:orgName
i07574;Cercamp, Zisterzienserabtei Notre-Dame;"Zisterzienserabtei Cercamp Frévent, c. Auxi-le-Château, arr. Arras, Nord; Diözese Amiens";1008;;"Zisterzienserabtei Cercamp (Frévent, c. Auxi-le-Château, arr. Arras, Nord; Diözese Amiens)";"Cercamp (Frévent, c. Auxi-le-Château, arr. Arras, Nord; Diözese Amiens)";t:orgName
i04149;Châlons-en-Champagne, Stiftskirche Notre-Dame-en-Vaux;Kanoniker von Notre-Dame-en-Vaux in Châlons-en-Champagne;1104a;Empfänger;Kanoniker von Notre-Dame-en-Vaux (in Châlons-en-Champagne);Notre-Dame-en-Vaux (in Châlons-en-Champagne);t:persName
i01469;Clermont-Ferrand, Benediktinerabtei Saint-Allyre;Benediktinerabtei Saint-Allyre in Clermont-Ferrand, Puy-de-Dôme;1106;Empfänger;Benediktinerabtei Saint-Allyre in Clermont(-Ferrand, Puy-de-Dôme);Saint-Allyre in Clermont(-Ferrand, Puy-de-Dôme);t:orgName
i00217;Corbie, Abtei Saint-Pierre;Abtei Corbie;228;;Abtei Corbie;Corbie;t:orgName
i06200;Die römische Kirche und an alle, zu denen die Beschwerde der Kleriker aus Reims gelangt ist;römische Kirche und an alle, zu denen die Beschwerde der Kleriker aus Reims;372;Empfänger;römische Kirche und an alle, zu denen die Beschwerde der Kleriker aus Reims;Reims;t:persName
i02155;Erzbischöfe, Bischöfe, Äbte sowie die übrigen Religiosen und sapientes;Erzbischöfen, Bischöfen, Äbten sowie den übrigen Religiosen und sapientes;426;Empfänger;Erzbischöfen, Bischöfen, Äbten sowie den übrigen Religiosen und;;t:persName
i02153;Erzbischöfe, Bischöfe, Äbte und andere Kirchenprälaten im Königreich Frankreich;Erzbischöfe, Bischöfe, Äbte und andere Kirchenprälaten im Königreich Frankreich;975;Empfänger;Erzbischöfe, Bischöfe, Äbte und andere Kirchenprälaten im Königreich Frankreich;Frankreich;t:persName
i07582;Esrom, Zisterzienserabtei;Zisterzienserabtei Esrom Diözese Roskilde, Dänemark;1103;Empfänger;Zisterzienserabtei Esrom (Diözese Roskilde, Dänemark);Esrom (Diözese Roskilde, Dänemark);t:orgName
i02343;Étrun-lès-Arras, Frauenabtei Notre-Dame-et-Sainte-Madelein;Frauenabtei Notre-Dame-et-Sainte-Madelein in Étrun-lès-Arras arr. Arras, Pas-de-Calais, Diözese Arras;1101;Empfänger;Frauenabtei Notre-Dame-et-Sainte-Madelein in Étrun-lès-Arras (arr. Arras, Pas-de-Calais, Diözese Arras);Notre-Dame-et-Sainte-Madelein in Étrun-lès-Arras (arr. Arras, Pas-de-Calais, Diözese Arras);t:orgName
i02011;Ferrara, Domkapitel;Domkanoniker in Ferrara;1094;Empfänger;Domkanoniker in Ferrara;Ferrara;t:persName
i07583;Fitero, Zisterzienserabtei;Zisterzienserabtei Fitero Diözese Pamplona;1036;Empfänger;Zisterzienserabtei Fitero (Diözese Pamplona);Fitero (Diözese Pamplona);t:orgName
i07609;Genua, Kirche und Volk;Genua, Kirche und Volk;;;;;
i02645;Gesandte der Synode von Senlis 990;Gesandte der Synode von Senlis;195;Empfänger;Gesandte der Synode von Senlis;Senlis;t:persName
i05655;Grandmont, Priorei;Prior und Brüder von Grandmont;1122a;Empfänger;Prior und Brüder von Grandmont;Grandmont;t:persName
i04391;Kirche von Reims;Kirche von Reims;6;Empfänger;Kirche von Reims;Reims;t:orgName
i04489;Klerus und Volk von Reims;Klerus und Volk von Reims;153;;Klerus und Volk von Reims;Reims;t:orgName
i04376;Lobbes, Abtei Saint-Pierre;Kirche von Lobbes;1002;;Kirche von Lobbes;Lobbes;t:orgName
i05598;Lonato, Pfarrkirche San Zeno;Lonato, Pfarrkirche San Zeno;1091;Empfänger;Pieve San Zeno in Lonato (Diözese Verona);San Zeno in Lonato (Diözese Verona);t:orgName
i02438;Mitbischöfe, Fürsten und alle Gläubigen der katholischen Kirche;Fürsten und alle Gläubigen der katholischen Kirche;18;Empfänger;Fürsten und alle Gläubigen der katholischen Kirche;;t:persName
i05140;Mitbischöfe, Priester und die übrigen kirchlichen Ordines, die Fürsten, Herzöge und Grafen und alle Christgläubigen;Mitbischöfe, Priester und die übrigen kirchlichen Ordines, die Fürsten, Herzöge und Grafen und alle Christgläubigen;12;Empfänger;Mitbischöfe, Priester und die übrigen kirchlichen Ordines, die Fürsten, Herzöge und Grafen und alle Christgläubigen;;t:persName
i07594;Mortain, Zisterzienserinnenabtei Les Blanches;Zisterzienserinnenabtei Les Blanches in Mortain arr. Avranches, Manche;1100;Empfänger;Zisterzienserinnenabtei Les Blanches in Mortain (arr. Avranches, Manche);Les Blanches in Mortain (arr. Avranches, Manche);t:orgName
i02344;Nyoiseau, Frauenabtei Notre-Dame;Frauenabtei Notre-Dame in Nyoiseau c. et arr. Segré, Maine-et-Loire;1089;Empfänger;Frauenabtei Notre-Dame in Nyoiseau (c. et arr. Segré, Maine-et-Loire);Notre-Dame in Nyoiseau (c. et arr. Segré, Maine-et-Loire);t:orgName
i07588;Orval, Zisterzienserabtei;Zisterzienserabtei Orval Villers-devant-Orval, Prov. Luxembourg, Belgien, Diöz. Trier;1060;;Zisterzienserabtei Orval (Villers-devant-Orval, Prov. Luxembourg, Belgien, Diöz. Trier);Orval (Villers-devant-Orval, Prov. Luxembourg, Belgien, Diöz. Trier);t:orgName
i06261;Paris, Abtei Sainte-Geneviève;Sainte-Geneviève in Paris;1098;Empfänger;Sainte-Geneviève in Paris;Paris;t:orgName
i02015;Passau, Domkapitel;Domkapitel in Passau Bayern;1040;Empfänger;Domkapitel in Passau (Bayern);Passau (Bayern);t:orgName
i07006;Prälaten der Kirchenprovinz Köln;und Köln;1129;Empfänger;und Köln;Köln;t:persName
i01244;Prälaten der Kirchenprovinz Reims;andere Kirchenprälaten der Kirchenprovinz Reims;1118;Empfänger;andere Kirchenprälaten der Kirchenprovinz Reims;Kirchenprovinz Reims;t:persName
o00174;;Aachen;197;Ort;Aachen?;Aachen?;t:placeName
;;;198;Ort;Aachen;Aachen;t:placeName
i01125;Prälaten der Kirchenprovinzen Reims und Laon;alle Kirchenprälaten;1078;Empfänger;alle Kirchenprälaten;;t:persName
i00199;Prälaten der Kirchenprovinzen Reims und Rouen;Äbte, Archidiakone, Pröpste, Prioren und Priester in ihren Diözesen;1056;Empfänger;Äbte, Archidiakone, Pröpste, Prioren und Priester in ihren Diözesen;;t:persName
i01474;Préaux, Benediktinerabtei Saint-Pierre;Benediktinerabtei Saint-Pierre in Préaux c. Darnétal, arr. Rouen, Seine-Maritime, Diözese Rouen;1041;Empfänger;Benediktinerabtei Saint-Pierre in Préaux (c. Darnétal, arr. Rouen, Seine-Maritime, Diözese Rouen);Saint-Pierre in Préaux (c. Darnétal, arr. Rouen, Seine-Maritime, Diözese Rouen);t:orgName
i00246;Reims, Abtei Saint-Nicaise;Abtei Saint-Nicaise, Reims;378;;Abtei Saint-Nicaise ;Saint-Nicaise;t:orgName
;;;214;Aussteller;Abbo, Abt von Fleury (Saint-Benoît-sur-Loire, c. Ouzouer-sur-Loire, arr. Orléans, Loiret);Fleury (Saint-Benoît-sur-Loire, c. Ouzouer-sur-Loire, arr. Orléans, Loiret);t:persName
;;;213;;Abbos von Fleury;Fleury;t:persName
i02024;Reims, Domkapitel;Dompropst, Domdekan und Domkapitel in Reims;936;;Dompropst, dem Domdekan und dem Domkapitel in Reims;Reims;t:persName
;;;163;Empfänger;(Abbo), Bischof von Soissons;Soissons;t:persName
i01470;Saint-Benoît-sur-Loire, Benediktinerabtei;Benediktinerabtei Saint-Benoît-sur-Loire c. Ouzouer-sur-Loire, arr. Orléans, Loiret;1102;Empfänger;Benediktinerabtei Saint-Benoît-sur-Loire (c. Ouzouer-sur-Loire, arr. Orléans, Loiret);Saint-Benoît-sur-Loire (c. Ouzouer-sur-Loire, arr. Orléans, Loiret);t:orgName
;;;5;;Abel;;t:persName
;;;3;Empfänger;Abel, (Erz)bischof von Reims;Reims;t:persName
i04444;Saint-Jean-de-Maurienne, bischöfliche Kirche;Kirche von Saint-Jean-de-Maurienne Savoie;1096;Empfänger;Kirche von (Saint-Jean-de-)Maurienne (Savoie);(Saint-Jean-de-)Maurienne (Savoie);t:orgName
i01874;Saint-Taurin, Cluniazenserpriorat;Cluniazenserpriorat Saint-Taurin LÉchelle-Saint-Aurin, c. Roye, arr. Montdidier, Somme, Diözese Amiens;1038;Empfänger;Cluniazenserpriorat Saint-Taurin (L’Échelle-Saint-Aurin, c. Roye, arr. Montdidier, Somme, Diözese Amiens);Saint-Taurin (L’Échelle-Saint-Aurin, c. Roye, arr. Montdidier, Somme, Diözese Amiens);t:orgName
;;;47;Aussteller;abgesetzten Kleriker und Mönche;;t:persName
;;;49;;(abgesetzten) Kleriker und Mönche;;t:persName
i07590;Savigny, Zisterzienserabtei Sainte-Trinité;Zisterzienserabtei Sainte-Trinité in Savigny c. Cerisy-la-Salle, arr. Coutances, Manche;1099;Empfänger;Zisterzienserabtei Sainte-Trinité in Savigny (c. Cerisy-la-Salle, arr. Coutances, Manche);Savigny (c. Cerisy-la-Salle, arr. Coutances, Manche);t:orgName
i02023;Thérouanne, Domkapitel;Domkapitel von Thérouanne;416;Empfänger;Domkapitel von Thérouanne;Thérouanne;t:persName
i01471;Tonnerre, Benediktinerabtei Saint-Michel;Benediktinerabtei Saint-Michel in Tonnerre arr. Avallon, Yonne, Diözese Langres;1090;Empfänger;Benediktinerabtei) Saint-Michel in Tonnerre (arr. Avallon, Yonne, Diözese Langres);Saint-Michel in Tonnerre (arr. Avallon, Yonne, Diözese Langres);t:orgName
i01472;Tournus, Benediktinerabtei Saint-Philibert;Benediktinerabtei Saint-Philibert in Tournus arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône;1037;Empfänger;Benediktinerabtei Saint-Philibert in Tournus (arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône);Saint-Philibert in Tournus (arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône);t:orgName
